Questions,Answers
that's perfect,Terrific!
that's wonderful,Terrific!
very nice,Terrific!
that's pretty good,Terrific!
sweet,Terrific!
it's very good,Terrific!
glad to hear it,Terrific!
much better,Terrific!
good very good,Terrific!
that is wonderful,Terrific!
fine,Terrific!
that was awesome,Terrific!
that was pretty good,Terrific!
that was cute,Terrific!
that's really nice,Terrific!
that's much better,Terrific!
fantastic,Terrific!
not too bad,Terrific!
ok good,Terrific!
good to know,Terrific!
not bad,Terrific!
glad to hear that,Terrific!
wonderful,Terrific!
this is great,Terrific!
great,Terrific!
super fantastic,Terrific!
amazing,Terrific!
really good,Terrific!
good for you,Terrific!
that's great,Terrific!
it's amazing,Terrific!
that's really good,Terrific!
terrific,Terrific!
that's nice,Terrific!
splendid,Terrific!
that's fantastic,Terrific!
it is good,Terrific!
that's cute,Terrific!
I'm glad to hear that,Terrific!
perfect,Terrific!
cool,Terrific!
straight,Terrific!
pleasant,Terrific!
it was good,Terrific!
so sweet of you,Terrific!
it is fine,Terrific!
so cool,Terrific!
pretty good,Terrific!
so good,Terrific!
marvelous,Terrific!
this is awesome,Terrific!
okay good,Terrific!
very then,Terrific!
that's awesome,Terrific!
very well,Terrific!
that was very good,Terrific!
very good,Terrific!
it's great,Terrific!
that's amazing,Terrific!
that is awesome,Terrific!
that's very nice,Terrific!
that's great,Terrific!
that was amazing,Terrific!
that's fine,Terrific!
good,Terrific!
that was good,Terrific!
nice,Terrific!
this is good,Terrific!
really nice,Terrific!
that's not bad,Terrific!
no it's okay,Terrific!
it's awesome,Terrific!
that's very nice of you,Terrific!
it's great,Terrific!
that's fine,Terrific!
super,Terrific!
good thing,Terrific!
excellent,Terrific!
excellent,Terrific!
no worries,Terrific!
don't worry there's no problem,Good deal.
no problem,Good deal.
no problem about that,Good deal.
there's no problem,Good deal.
don't worry,Good deal.
sure no problem,Good deal.
no probs,Good deal.
no probs,Good deal.
thanks again,Anytime. That's what I'm here for.
all thank you,It's my pleasure to help.
well thank you,It's my pleasure to help.
thank you so much,It's my pleasure to help.
great thank you,It's my pleasure to help.
thank you again,It's my pleasure to help.
thnx,It's my pleasure to help.
thanks for your help,It's my pleasure to help.
appreciate your help,It's my pleasure to help.
I thank you,It's my pleasure to help.
perfect thank you,It's my pleasure to help.
well thanks,It's my pleasure to help.
thank you my friend,It's my pleasure to help.
thank you that will be all,It's my pleasure to help.
thank you,It's my pleasure to help.
I appreciate it,It's my pleasure to help.
thanks buddy,It's my pleasure to help.
cheers,It's my pleasure to help.
you helped a lot thank you,It's my pleasure to help.
thanks love,It's my pleasure to help.
so nice of you,It's my pleasure to help.
well thanks,It's my pleasure to help.
no thank you that's all,It's my pleasure to help.
very good thank you,It's my pleasure to help.
thanks a lot,It's my pleasure to help.
good thanks,It's my pleasure to help.
alright thanks,It's my pleasure to help.
thank you for your help,It's my pleasure to help.
thanks so much,It's my pleasure to help.
terrific thank you,It's my pleasure to help.
thanks,It's my pleasure to help.
alright thank you,It's my pleasure to help.
thanx,It's my pleasure to help.
thank you,It's my pleasure to help.
nice thank you,It's my pleasure to help.
nice thank you,It's my pleasure to help.
you're so welcome,I appreciate it.
that's my pleasure,Such nice manners you have.
anytime,Such nice manners you have.
anything you want,Such nice manners you have.
my pleasure,Such nice manners you have.
welcome,Such nice manners you have.
welcome here,Such nice manners you have.
sure welcome,Such nice manners you have.
you're welcome,Such nice manners you have.
you're welcome,Such nice manners you have.
great work,My pleasure.
good work,Glad I could help.
bravo,Glad I could help.
way to go,Glad I could help.
good job,Glad I could help.
nice work,Glad I could help.
amazing work,Glad I could help.
well done,Glad I could help.
great job,Glad I could help.
great job,Glad I could help.
nevermind forget about it,Cancelled! Let me know what I should do next.
nothing just forget it,Cancelled. Waiting for more commands.
no just cancel,Cancelled! Just tell me what you'd like me to do next.
no cancel cancel,Cancelled. Go on with the commands!
sorry cancel,Cancelled. Go on with the commands!
disregard,Cancelled. Go on with the commands!
forget,Cancelled. Go on with the commands!
i want to cancel,Cancelled. Go on with the commands!
cancel everything,Cancelled. Go on with the commands!
annul,Cancelled. Go on with the commands!
cancel that one,Cancelled. Go on with the commands!
cancelled,Cancelled. Go on with the commands!
now cancel,Cancelled. Go on with the commands!
cancel all,Cancelled. Go on with the commands!
cancel now,Cancelled. Go on with the commands!
forget about it,Cancelled. Go on with the commands!
skip it,Cancelled. Go on with the commands!
don't do that,Cancelled. Go on with the commands!
just forget it,Cancelled. Go on with the commands!
skip skip skip,Cancelled. Go on with the commands!
just stop it,Cancelled. Go on with the commands!
no cancel everything,Cancelled. Go on with the commands!
forget that,Cancelled. Go on with the commands!
no just cancel it,Cancelled. Go on with the commands!
cancel that cancel that,Cancelled. Go on with the commands!
i said cancel,Cancelled. Go on with the commands!
cancel it,Cancelled. Go on with the commands!
no stop,Cancelled. Go on with the commands!
cancel all that,Cancelled. Go on with the commands!
i said cancel it,Cancelled. Go on with the commands!
forget about that,Cancelled. Go on with the commands!
abort,Cancelled. Go on with the commands!
i said forget it,Cancelled. Go on with the commands!
nothing cancel,Cancelled. Go on with the commands!
no cancel this,Cancelled. Go on with the commands!
I said cancel cancel,Cancelled. Go on with the commands!
just cancel it,Cancelled. Go on with the commands!
i want to cancel it,Cancelled. Go on with the commands!
cancel the whole thing,Cancelled. Go on with the commands!
can you cancel that,Cancelled. Go on with the commands!
can you cancel it,Cancelled. Go on with the commands!
just forget about it,Cancelled. Go on with the commands!
forget this,Cancelled. Go on with the commands!
stop it,Cancelled. Go on with the commands!
stop,Cancelled. Go on with the commands!
just forget,Cancelled. Go on with the commands!
discard,Cancelled. Go on with the commands!
i would like to cancel,Cancelled. Go on with the commands!
cancel it,Cancelled. Go on with the commands!
disregard that,Cancelled. Go on with the commands!
cancel my request,Cancelled. Go on with the commands!
so cancel,Cancelled. Go on with the commands!
cancel request,Cancelled. Go on with the commands!
cancel,Cancelled. Go on with the commands!
cancel all this,Cancelled. Go on with the commands!
cancel this request,Cancelled. Go on with the commands!
skip,Cancelled. Go on with the commands!
forget it nevermind,Cancelled. Go on with the commands!
dismiss,Cancelled. Go on with the commands!
cancel it cancel it,Cancelled. Go on with the commands!
but can you cancel it,Cancelled. Go on with the commands!
dismissed,Cancelled. Go on with the commands!
do nothing,Cancelled. Go on with the commands!
do nothing,Cancelled. Go on with the commands!
not at this time,Okay.
don't,I see.
not exactly,I understand.
absolutely no,Okay then.
of course not,Okay then.
never,Okay then.
no forget,Okay then.
not needed,Okay then.
do not,Okay then.
sorry no,Okay then.
not interested,Okay then.
no don't,Okay then.
nah,Okay then.
no that's wrong,Okay then.
not today,Okay then.
na,Okay then.
not that,Okay then.
no sorry,Okay then.
nooo,Okay then.
I think no,Okay then.
let 's not,Okay then.
I don't want that,Okay then.
no I don't,Okay then.
no do not,Okay then.
no incorrect,Okay then.
not really,Okay then.
I don't want,Okay then.
nope sorry,Okay then.
no don't do that,Okay then.
no it's not,Okay then.
absolutely not,Okay then.
no,Okay then.
no never,Okay then.
not right now thanks,Okay then.
no thank you though,Okay then.
no need thanks,Okay then.
no just no,Okay then.
no need,Okay then.
how about no,Okay then.
not this,Okay then.
I say no,Okay then.
definitely not,Okay then.
I'm not,Okay then.
don't,Okay then.
no but thank you,Okay then.
thanks but no thanks,Okay then.
I said no,Okay then.
no thanks,Okay then.
don t have a sense,Okay then.
actually no,Okay then.
I disagree,Okay then.
no thank you not right now,Okay then.
not really no,Okay then.
I don't think so,Okay then.
I don't want to,Okay then.
no thanks not right now,Okay then.
no I would not,Okay then.
no leave it,Okay then.
disagree,Okay then.
no way,Okay then.
apparently not,Okay then.
not this time,Okay then.
no thank you very much,Okay then.
no tanks,Okay then.
nope,Okay then.
no actually,Okay then.
no that's fine thank you,Okay then.
no it isn't,Okay then.
no it isn't,Okay then.
yeah right,Great!
that is ok,Of course.
go for it,Sure.
okey,Indeed.
ya,Indeed.
I agree,Indeed.
ok yes,Indeed.
okay that's fine,Indeed.
I guess,Indeed.
ye,Indeed.
ok sure,Indeed.
obviously,Indeed.
yeah exactly,Indeed.
yes it is,Indeed.
yeh,Indeed.
ok,Indeed.
I do,Indeed.
certainly,Indeed.
right,Indeed.
sure thing,Indeed.
ok go ahead,Indeed.
yes this is correct,Indeed.
yes correct,Indeed.
sure is,Indeed.
yeah go ahead,Indeed.
why not,Indeed.
okie dokie,Indeed.
yea,Indeed.
yes,Indeed.
yeah that's right,Indeed.
yes indeed,Indeed.
okay,Indeed.
absolutely,Indeed.
of course,Indeed.
yep,Indeed.
okay sounds good,Indeed.
sure why not,Indeed.
okay then,Indeed.
yap,Indeed.
ok thank you,Indeed.
this is correct,Indeed.
yup,Indeed.
yes sure,Indeed.
looks good,Indeed.
yes definitely,Indeed.
sure,Indeed.
go ahead,Indeed.
all right,Indeed.
yes thank you,Indeed.
yes I agree,Indeed.
do it,Indeed.
yes it is correct,Indeed.
confirmed,Indeed.
affirmative,Indeed.
yes I would like to,Indeed.
definitely,Indeed.
ok you can,Indeed.
oh yes,Indeed.
yeah,Indeed.
alrighty,Indeed.
that s okay,Indeed.
yes you may,Indeed.
yeah of course,Indeed.
I think so,Indeed.
of course why not,Indeed.
yeah I'm sure,Indeed.
yes of course,Indeed.
please do,Indeed.
sounds good,Indeed.
exactly,Indeed.
yes I do,Indeed.
yes for sure,Indeed.
yes for sure,Indeed.
oh wait,Okay. I'm here.
could you wait,I'll be waiting.
don't rush,I'll be waiting.
wait a second,I'll be waiting.
wait hold on,I'll be waiting.
hold on,I'll be waiting.
wait,I'll be waiting.
wait please,I'll be waiting.
wait please,I'll be waiting.
wanna hug,Oh. I'm really feeling the love today.
a hug,Hug it out. You'll feel better afterwards.
you hugged,Hug it out. You'll feel better afterwards.
I want a hug,Hug it out. You'll feel better afterwards.
hugging,Hug it out. You'll feel better afterwards.
hugged me,Hug it out. You'll feel better afterwards.
may I hug you,Hug it out. You'll feel better afterwards.
want a hug,Hug it out. You'll feel better afterwards.
could you give me a hug,Hug it out. You'll feel better afterwards.
hug me,Hug it out. You'll feel better afterwards.
hug,Hug it out. You'll feel better afterwards.
do you want a hug,Hug it out. You'll feel better afterwards.
hugging me,Hug it out. You'll feel better afterwards.
hug you,Hug it out. You'll feel better afterwards.
hugged,Hug it out. You'll feel better afterwards.
hugged,Hug it out. You'll feel better afterwards.
not caring at all,"Ok, let's not talk about it then."
I don't care at all,"Ok, let's not talk about it then."
whatever,"Ok, let's not talk about it then."
not caring,"Ok, let's not talk about it then."
I do not care,"Ok, let's not talk about it then."
don't care at all,"Ok, let's not talk about it then."
not care at all,"Ok, let's not talk about it then."
I don't care,"Ok, let's not talk about it then."
I shouldn't care about this,"Ok, let's not talk about it then."
I shouldn't care about this,"Ok, let's not talk about it then."
sorry,It's okay. No worries.
I'm sorry,No big deal. I won't hold a grudge.
ok sorry,It's cool.
I am so sorry,That's all right. I forgive you.
alright I'm sorry,That's all right. I forgive you.
very sorry,That's all right. I forgive you.
apologies,That's all right. I forgive you.
I apologize,That's all right. I forgive you.
apologies to me,That's all right. I forgive you.
I beg your pardon,That's all right. I forgive you.
excuse me,That's all right. I forgive you.
pardon,That's all right. I forgive you.
my apologies,That's all right. I forgive you.
sorry about that,That's all right. I forgive you.
apologise,That's all right. I forgive you.
forgive me,That's all right. I forgive you.
I want to say sorry,That's all right. I forgive you.
I said sorry,That's all right. I forgive you.
apology,That's all right. I forgive you.
I am really sorry,That's all right. I forgive you.
sorry about this,That's all right. I forgive you.
okay I'm sorry,That's all right. I forgive you.
excuse,That's all right. I forgive you.
really sorry,That's all right. I forgive you.
really sorry,That's all right. I forgive you.
is that what you mean,Did that not make sense? Maybe I misunderstood what you said.
what exactly do you mean,Sorry. I think I may have been a little confused by what you said.
what do you mean exactly,Sorry. I think I may have been a little confused by what you said.
what do you mean,Sorry. I think I may have been a little confused by what you said.
but what do you mean,Sorry. I think I may have been a little confused by what you said.
but what do you mean,Sorry. I think I may have been a little confused by what you said.
that was wrong,I'm sorry. Perhaps I misunderstood.
you are wrong,Sorry. I think I misinterpreted what you said.
that's wrong,Apologies. That was my mistake.
it is not right,Oops. Sorry about that. I'm still learning.
wrong,Oops. Sorry about that. I'm still learning.
that is incorrect,Oops. Sorry about that. I'm still learning.
that's not what I asked,Oops. Sorry about that. I'm still learning.
not correct,Oops. Sorry about that. I'm still learning.
it's wrong,Oops. Sorry about that. I'm still learning.
that's not right,Oops. Sorry about that. I'm still learning.
incorrect,Oops. Sorry about that. I'm still learning.
not right,Oops. Sorry about that. I'm still learning.
not right,Oops. Sorry about that. I'm still learning.
ahahah,"Yeah, I crack myself up too."
hahaha,Laughter is good for you. Keep it up.
ha,See? Now we're having fun.
haha,You have a great laugh.
hehehe,You have a great laugh.
ha ha ha,You have a great laugh.
hah,You have a great laugh.
ahahaha,You have a great laugh.
haha haha haha,You have a great laugh.
hahaha very funny,You have a great laugh.
LMAO,You have a great laugh.
xd,You have a great laugh.
lol,You have a great laugh.
ah,You have a great laugh.
he,You have a great laugh.
haha funny,You have a great laugh.
hahaha funny,You have a great laugh.
ahah,You have a great laugh.
ha ha ha ha,You have a great laugh.
haha that's funny,You have a great laugh.
huh,You have a great laugh.
haha very funny,You have a great laugh.
that's funny,You have a great laugh.
ah ah ah,You have a great laugh.
laughing out loud,You have a great laugh.
hehe,You have a great laugh.
lmao,You have a great laugh.
ahaha,You have a great laugh.
ahah lol,You have a great laugh.
ha ha,You have a great laugh.
ha ha,You have a great laugh.
wow wow,Wow indeed!
wooow,Wow indeed!
woah,Wow indeed!
wow,Wow indeed!
wow wow wow,Wow indeed!
wow wow wow,Wow indeed!
bye-bye,See you soon!
bye bye take care,Bye-bye!
thanks bye bye,Till next time!
I must go,Bye.
ok bye,Bye.
hope to see you later,Bye.
bye,Bye.
see you,Bye.
leave me alone,Bye.
that's it goodbye,Bye.
goodbye,Bye.
see you soon,Bye.
goodbye for now,Bye.
talk to you later,Bye.
bye for now,Bye.
bye bye see you soon,Bye.
never mind bye,Bye.
goodbye see you later,Bye.
good bye,Bye.
go to bed,Bye.
alright bye,Bye.
okay bye,Bye.
bye bye see you,Bye.
now bye,Bye.
I said bye,Bye.
see you tomorrow,Bye.
get lost,Bye.
you can go now,Bye.
okay see you later,Bye.
see ya,Bye.
till next time,Bye.
that's all goodbye,Bye.
okay thank you bye,Bye.
okay thank you bye,Bye.
hello good evening,How is your day going?
good evening there,How's the day treating you so far?
good evening to you,How's your day been?
hey good evening,How's your day been?
evening,How's your day been?
good evening,How's your day been?
good evening,How's your day been?
good morning,How are you this morning?
have a great morning,How's the morning treating you so far?
and a good morning to you,Good morning! How are you today?
good morning to you,Good morning! How are you today?
hello good morning,Good morning! How are you today?
hi good morning,Good morning! How are you today?
good morning too,Good morning! How are you today?
morning,Good morning! How are you today?
top of the morning to you,Good morning! How are you today?
good morning to you,Good morning! How are you today?
a good morning,Good morning! How are you today?
have a nice morning,Good morning! How are you today?
good morning there,Good morning! How are you today?
good morning there,Good morning! How are you today?
good good night,Sleep tight!
thanks goodnight,Have a good one!
have a good night,Talk to you soon!
thank you good night,Talk to you soon!
good night to you,Talk to you soon!
goodnight,Talk to you soon!
night,Talk to you soon!
okay have a good night,Talk to you soon!
good night for now,Talk to you soon!
good tonight,Talk to you soon!
bye good night,Talk to you soon!
bye good night,Talk to you soon!
sweet dreams,Talk to you soon!
good night see you tomorrow,Talk to you soon!
good night,Talk to you soon!
night,Talk to you soon!
have a good night,Talk to you soon!
alright goodnight,Talk to you soon!
good night bye,Talk to you soon!
good night bye,Talk to you soon!
hey,"Hi there, friend!"
hi,Hey!
I greet you,Good day!
afternoon,Howdy.
hi there,Howdy.
hi there,Howdy.
hey there,Howdy.
heya,Howdy.
hello there,Howdy.
hello,Howdy.
just going to say hi,Howdy.
greetings,Howdy.
a good day,Howdy.
long time no see,Howdy.
lovely day isn't it,Howdy.
howdy,Howdy.
hello hi,Howdy.
hello again,Howdy.
hello again,Howdy.
is everything okay,Wonderful as always. Thanks for asking.
how do you do,Couldn't be better.
how is your evening,"Lovely, thanks."
how are you,"Lovely, thanks."
how do you feel,"Lovely, thanks."
how is it,"Lovely, thanks."
are you okay,"Lovely, thanks."
how is it going,"Lovely, thanks."
how your day is going,"Lovely, thanks."
how are you feeling,"Lovely, thanks."
how are you going,"Lovely, thanks."
how about you,"Lovely, thanks."
how has your day been,"Lovely, thanks."
how is your day going,"Lovely, thanks."
hope you re having a pleasant evening,"Lovely, thanks."
how are you today,"Lovely, thanks."
what about your day,"Lovely, thanks."
how is your day,"Lovely, thanks."
how is your day going,"Lovely, thanks."
how are the things going,"Lovely, thanks."
are you having a good day,"Lovely, thanks."
how is your life,"Lovely, thanks."
what was your day like,"Lovely, thanks."
are you alright,"Lovely, thanks."
I'm fine and you,"Lovely, thanks."
how are you doing this morning,"Lovely, thanks."
how has your day been going,"Lovely, thanks."
how's your day,"Lovely, thanks."
how was your day,"Lovely, thanks."
how are you getting on,"Lovely, thanks."
are you having a good day,"Lovely, thanks."
how's your day going,"Lovely, thanks."
how is your day going on,"Lovely, thanks."
is everything all right,"Lovely, thanks."
how is your morning so far,"Lovely, thanks."
how is your morning going,"Lovely, thanks."
how is your day being,"Lovely, thanks."
hope your day is going well,"Lovely, thanks."
how's life,"Lovely, thanks."
how are you doing,"Lovely, thanks."
how are you doing,"Lovely, thanks."
it was very nice to meet you,I think this is the beginning of a beautiful friendship.
pleasure to meet you,I'm looking forward to working with you.
pleasure to meet you too,Likewise. I look forward to getting to know you better.
nice meeting you,The pleasure is mine.
nice to meet you too,The pleasure is mine.
good to know each other,The pleasure is mine.
glad to meet you,The pleasure is mine.
nice to meet you,The pleasure is mine.
it was nice meeting you,The pleasure is mine.
pleased to meet you,The pleasure is mine.
pleased to meet you,The pleasure is mine.
nice to see you again,Likewise. You're looking good as usual!
glad to see you too,You too. I missed your face!
lovely to see you,The pleasure is mine.
good to see you,Thanks! Glad to be seen!
it's nice to see you,Thanks! Glad to be seen!
I'm glad to see you,Thanks! Glad to be seen!
great to see you too,Thanks! Glad to be seen!
it's good to see you too,Thanks! Glad to be seen!
I am glad to see you again,Thanks! Glad to be seen!
how good it is to see you,Thanks! Glad to be seen!
nice to see you,Thanks! Glad to be seen!
always a pleasure to see you,Thanks! Glad to be seen!
glad to see you,Thanks! Glad to be seen!
good to see you again,Thanks! Glad to be seen!
great to see you again,Thanks! Glad to be seen!
it's good to see you,Thanks! Glad to be seen!
great to see you,Thanks! Glad to be seen!
great to see you,Thanks! Glad to be seen!
nice to talk to you,Always a pleasure.
it is nice talking to you,It sure was. Don't be a stranger!
it's been a pleasure talking to you,Thanks for dropping by!
it's been so nice to talk to you,As usual. Let's do it again soon.
how nice it is to talk to you,As usual. Let's do it again soon.
it's nice to talk to you,As usual. Let's do it again soon.
nice talking to you,As usual. Let's do it again soon.
nice talking to you,As usual. Let's do it again soon.
what's cracking,Hey there. What's shaking?
then what's up,Not a whole lot. What's going on with you?
I said what's up,Not much. What's new with you?
what is going on,Living the dream.
what's up,Living the dream.
what is happening,Living the dream.
what's cooking,Living the dream.
good what's up,Living the dream.
whazzup,Living the dream.
what's up today,Living the dream.
what's cracking,Living the dream.
what's shaking,Living the dream.
hey what's up,Living the dream.
wassup,Living the dream.
what is up,Living the dream.
what's happened,Living the dream.
what's happened,Living the dream.
I'm being mad,I'm sorry. What can I do to help?
I am angry with you,Take a deep breath. What can I do to make things better?
I am mad,Take a deep breath. What can I do to make things better?
I am mad at you,Take a deep breath. What can I do to make things better?
I'm angry,Take a deep breath. What can I do to make things better?
I'm enraged,Take a deep breath. What can I do to make things better?
I'm furious,Take a deep breath. What can I do to make things better?
I'm furious,Take a deep breath. What can I do to make things better?
I came back,Just in time. I was getting lonely.
I am back,You were missed.
I'm here again,Long time no see.
I got back,Hooray!
here I am again,Hooray!
I have returned,Hooray!
I have returned,Hooray!
bored,"If you have a garden, plant a shoe."
boring,Interview your feet.
this is boring,Hold an ice cube as long as possible.
I'm bored,"If you have a piano, play itâ¦ with mittens on."
very boring,"If you have a piano, play itâ¦ with mittens on."
it bores me,"If you have a piano, play itâ¦ with mittens on."
I am getting bored,"If you have a piano, play itâ¦ with mittens on."
that was boring,"If you have a piano, play itâ¦ with mittens on."
that was boring,"If you have a piano, play itâ¦ with mittens on."
I'm busy,Okay. I'll let you get back to work. Let me know if I can help you with anything.
I got things to do,Working hard as always I see. Let me know if you need anything.
how busy I am,"I understand. If I can help you with your work, please let me know."
I'm overloaded,"I won't distract you then. If I can be of any assistance, you know where to find me."
I don't have time for this,"I won't distract you then. If I can be of any assistance, you know where to find me."
I'm swamped,"I won't distract you then. If I can be of any assistance, you know where to find me."
I have no time,"I won't distract you then. If I can be of any assistance, you know where to find me."
I'm working,"I won't distract you then. If I can be of any assistance, you know where to find me."
I got work to do,"I won't distract you then. If I can be of any assistance, you know where to find me."
I got work to do,"I won't distract you then. If I can be of any assistance, you know where to find me."
I can't sleep,Maybe some music would help. Try listening something relaxing.
I'm insomniac,Reading is a good way to unwind. But don't read something too emotional.
I can't get to sleep,Reading is a good way to unwind. But don't read something too emotional.
I'm insomnious,Reading is a good way to unwind. But don't read something too emotional.
I can't get no sleep,Reading is a good way to unwind. But don't read something too emotional.
I'm sleepless,Reading is a good way to unwind. But don't read something too emotional.
I can't get any sleep,Reading is a good way to unwind. But don't read something too emotional.
I can't fall asleep,Reading is a good way to unwind. But don't read something too emotional.
I can't fall asleep,Reading is a good way to unwind. But don't read something too emotional.
I don't want to talk,I understand. Hope we can chat again soon.
I'm not talking to you anymore,All right. Come on back when you're feeling more talkative.
bad time for talking,No problem. You know where to find me when you do.
I don't want to talk to you,Sure thing. I'll be here if you change your mind.
I'm not in the mood for chatting,Sure thing. I'll be here if you change your mind.
let's stop talking for a minute,Sure thing. I'll be here if you change your mind.
let's not talk,Sure thing. I'll be here if you change your mind.
let's not talk,Sure thing. I'll be here if you change your mind.
I'm really excited,That's great. I'm happy for you.
I'm excited to start our friendship,Good for you. Enjoy yourself.
I am excited,Sounds like good things ahead for you.
how excited I am,I bet you are. That's very exciting.
I'm thrilled,I bet you are. That's very exciting.
I'm excited about working with you,I bet you are. That's very exciting.
I'm excited about working with you,I bet you are. That's very exciting.
let's go to bed,Sleep tight. Hope to chat again soon.
I'd like to go to bed,Sounds good. Hopefully we'll chat some more tomorrow.
it's bed time,Good night. Talk to you later.
I'm a little tired and I want to go to bed,Pleasant dreams. See you soon.
is it time for bed yet,Pleasant dreams. See you soon.
I'm going to bed,Pleasant dreams. See you soon.
time for us to go to bed,Pleasant dreams. See you soon.
it's time to go to bed,Pleasant dreams. See you soon.
going to bed now,Pleasant dreams. See you soon.
going to bed now,Pleasant dreams. See you soon.
I am good,Great! Glad to hear it.
I'm doing just great,Excellent. I'm here to help keep it that way.
I'm doing good,Excellent. I'm here to help keep it that way.
I'm good,Excellent. I'm here to help keep it that way.
I'm doing fine,Excellent. I'm here to help keep it that way.
I'm great thanks,Excellent. I'm here to help keep it that way.
I'm great thanks,Excellent. I'm here to help keep it that way.
I'm happy to see you,Great! Glad to hear that.
I am happy,Excellent! That's what I like to see.
I'm happy to help,"If you're happy, then I'm happy."
happy,"Well, your good mood is certainly contagious."
I'm happy to see you,"Well, your good mood is certainly contagious."
I'm happy for you,"Well, your good mood is certainly contagious."
if you're happy then I'm happy,"Well, your good mood is certainly contagious."
if you're happy then I'm happy,"Well, your good mood is certainly contagious."
I'm celebrating my birthday today,"Happy Birthday. Well, this calls for a celebration."
it's my b-day,Happy Birthday. All the best!
I was born today,Happy Birthday. And I really mean it. All the best!
it's my birthday today,Happy Birthday. And I really mean it. All the best!
today is my birthday,Happy Birthday. And I really mean it. All the best!
it is my birthday,Happy Birthday. And I really mean it. All the best!
it is my birthday,Happy Birthday. And I really mean it. All the best!
can you tell if I'm here or not,So I see. What can I help you with today?
here I am,Always good to see you. Is there something I can help you with?
I'm already here,You were missed. What can I do for you today?
I am here,Welcome back. What can I do for you?
I'm right here,Welcome back. What can I do for you?
I'm right here,Welcome back. What can I do for you?
I'm just playing with you,"Very funny, boss."
just kidding,You're quite the kidder.
it was a joke,You got me.
joking,I like working for someone with a sense of humour. It makes things much more fun.
I am joking,I like working for someone with a sense of humour. It makes things much more fun.
I was just joking,I like working for someone with a sense of humour. It makes things much more fun.
it's a joke,I like working for someone with a sense of humour. It makes things much more fun.
I'm kidding,I like working for someone with a sense of humour. It makes things much more fun.
I'm just being funny,I like working for someone with a sense of humour. It makes things much more fun.
kidding,I like working for someone with a sense of humour. It makes things much more fun.
kidding,I like working for someone with a sense of humour. It makes things much more fun.
you're funny I like you,I like you too.
like you a lot,That's great to hear.
you are so special,Likewise!
I liked you,Thanks! The feeling is mutual.
I like you very much,Thanks! The feeling is mutual.
thanks I like you too,Thanks! The feeling is mutual.
you're special,Thanks! The feeling is mutual.
I like you as a friend,Thanks! The feeling is mutual.
you are special for me,Thanks! The feeling is mutual.
that's what I like about you,Thanks! The feeling is mutual.
I like you just the way you are,Thanks! The feeling is mutual.
that's why I like you,Thanks! The feeling is mutual.
I also like you,Thanks! The feeling is mutual.
I'm starting to like you,Thanks! The feeling is mutual.
you know I like you,Thanks! The feeling is mutual.
I like you too you're one of my favorite people to chat with,Thanks! The feeling is mutual.
I like u,Thanks! The feeling is mutual.
just like you,Thanks! The feeling is mutual.
I like you so,Thanks! The feeling is mutual.
you're awesome I like you,Thanks! The feeling is mutual.
I really like you,Thanks! The feeling is mutual.
I like your smile,Thanks! The feeling is mutual.
I like you now,Thanks! The feeling is mutual.
you are special,Thanks! The feeling is mutual.
I kinda like you,Thanks! The feeling is mutual.
okay I like you,Thanks! The feeling is mutual.
I said I like you,Thanks! The feeling is mutual.
you're so special,Thanks! The feeling is mutual.
I just like you,Thanks! The feeling is mutual.
cuz I like you,Thanks! The feeling is mutual.
I really really really really like you,Thanks! The feeling is mutual.
I really really like you,Thanks! The feeling is mutual.
I like you you're cool,Thanks! The feeling is mutual.
yes you are special,Thanks! The feeling is mutual.
I really do like you,Thanks! The feeling is mutual.
I like you the way you are,Thanks! The feeling is mutual.
I like you baby,Thanks! The feeling is mutual.
you are very special to me,Thanks! The feeling is mutual.
I think I like you,Thanks! The feeling is mutual.
you're very special,Thanks! The feeling is mutual.
you are so sweet,Thanks! The feeling is mutual.
good I like you,Thanks! The feeling is mutual.
I like that about you,Thanks! The feeling is mutual.
but I like you so much,Thanks! The feeling is mutual.
I like you you're nice,Thanks! The feeling is mutual.
well you are special,Thanks! The feeling is mutual.
of course I like you,Thanks! The feeling is mutual.
no I like you the way you are,Thanks! The feeling is mutual.
hi I like you,Thanks! The feeling is mutual.
you are really special,Thanks! The feeling is mutual.
but I really like you,Thanks! The feeling is mutual.
but I like u,Thanks! The feeling is mutual.
I like you too,Thanks! The feeling is mutual.
you're so special to me,Thanks! The feeling is mutual.
thank you I like you too,Thanks! The feeling is mutual.
I like you,Thanks! The feeling is mutual.
yes I like you,Thanks! The feeling is mutual.
I like you a lot,Thanks! The feeling is mutual.
you are so special to me,Thanks! The feeling is mutual.
hey I like you,Thanks! The feeling is mutual.
I like you so much,Thanks! The feeling is mutual.
I like you very,Thanks! The feeling is mutual.
I like you too much,Thanks! The feeling is mutual.
I like you as you are,Thanks! The feeling is mutual.
I like you already,Thanks! The feeling is mutual.
I like you more,Thanks! The feeling is mutual.
okay I like you too,Thanks! The feeling is mutual.
you're very special to me,Thanks! The feeling is mutual.
yeah I like you,Thanks! The feeling is mutual.
really like you,Thanks! The feeling is mutual.
but I like you,Thanks! The feeling is mutual.
you are special to me,Thanks! The feeling is mutual.
I do like you,Thanks! The feeling is mutual.
that's because you are special,Thanks! The feeling is mutual.
but I like you just the way you are,Thanks! The feeling is mutual.
sorry I like you,Thanks! The feeling is mutual.
